,GEOID,NAMELSAD
2888,08039,Elbert County
2889,40145,Wagoner County
2890,30083,Richland County
2891,05003,Ashley County
2892,05041,Desha County
2893,72147,Vieques Municipio
2894,47135,Perry County
2895,48147,Fannin County
2896,20043,Doniphan County
2897,48265,Kerr County
2898,12053,Hernando County
2899,12129,Wakulla County
2900,12131,Walton County
2901,28017,Chickasaw County
2902,29025,Caldwell County
2903,12107,Putnam County
2904,18025,Crawford County
2905,29111,Lewis County
2906,31075,Grant County
2907,21055,Crittenden County
2908,19147,Palo Alto County
2909,19159,Ringgold County
2910,37151,Randolph County
2911,24015,Cecil County
2912,18171,Warren County
2913,31077,Greeley County
2914,31095,Jefferson County
2915,31151,Saline County
2916,21119,Knott County
2917,19045,Clinton County
2918,27063,Jackson County
2919,27039,Dodge County
2920,27047,Freeborn County
2921,06009,Calaveras County
2922,25001,Barnstable County
2923,51119,Middlesex County
2924,42065,Jefferson County
2925,18089,Lake County
2926,21075,Fulton County
2927,20079,Harvey County
2928,30021,Dawson County
2929,54091,Taylor County
2930,26111,Midland County
2931,28119,Quitman County
2932,21093,Hardin County
2933,17081,Jefferson County
2934,46057,Hamlin County
2935,55069,Lincoln County
2936,36033,Franklin County
2937,51630,Fredericksburg city
2938,46007,Bennett County
2939,22115,Vernon Parish
2940,23019,Penobscot County
2941,24041,Talbot County
2942,13257,Stephens County
2943,06065,Riverside County
2944,05005,Baxter County
2945,28007,Attala County
2946,19169,Story County
2947,20011,Bourbon County
2948,42031,Clarion County
2949,46097,Miner County
2950,46073,Jerauld County
2951,18031,Decatur County
2952,18037,Dubois County
2953,51057,Essex County
2954,45089,Williamsburg County
2955,36031,Essex County
2956,19195,Worth County
2957,40063,Hughes County
2958,51027,Buchanan County
2959,51005,Alleghany County
2960,28087,Lowndes County
2961,18143,Scott County
2962,08099,Prowers County
2963,48435,Sutton County
2964,72121,Sabana Grande Municipio
2965,40101,Muskogee County
2966,19005,Allamakee County
2967,48061,Cameron County
2968,48339,Montgomery County
2969,08071,Las Animas County
2970,48299,Llano County
2971,48319,Mason County
2972,37043,Clay County
2973,36071,Orange County
2974,36093,Schenectady County
2975,54059,Mingo County
2976,51065,Fluvanna County
2977,17097,Lake County
2978,13195,Madison County
2979,05039,Dallas County
2980,08057,Jackson County
2981,08063,Kit Carson County
2982,16073,Owyhee County
2983,55141,Wood County
2984,36013,Chautauqua County
2985,13067,Cobb County
2986,26041,Delta County
2987,05131,Sebastian County
2988,06087,Santa Cruz County
2989,13191,McIntosh County
2990,13207,Monroe County
2991,29069,Dunklin County
