geo_id,county_name,named_wetlands,wetland_count
09140,Naugatuck Valley Planning Region,"['Tri-Lake', 'Parkers Pond', 'Grape Swamp', 'Spring Lake', 'Long Meadow', 'Beer Pond', 'Hills Pond No 2', 'Manville Kettle', 'Ash Swamp', 'Cedar Swamp', 'Satans Meditation', 'Pecks Swamp', 'Tamarack Swamp', 'Evers Pond']",302
09150,Northeastern Connecticut Planning Region,"['Mansure Pond', 'Cedar Swamp', 'Erickson Wildlife Marsh', 'Douglas Swamp', 'Peg Mill Pond', 'Catden Swamp', 'Hale Marsh', 'Maple Swamp', 'Dickinson Pond', 'Prentise Pond', 'Thompson Meadows', 'Vintons Mill Pond', 'Dark Swamp', 'Jerrys Swamp']",301
09160,Northwest Hills Planning Region,"['Whitten Swamp', 'Pine Swamp', 'Poplar Swamp', 'Ash Swamp', 'Meeker Swamp', 'Romford Pond', 'No Mans Land Swamp', 'Cat Swamp', 'Ripley Swamp', 'slough', 'Spruce Swamp', 'The Cranberry Bog', 'Popple Swamp', 'Black Spruce Bog', 'Bear Swamp', 'Peat Swamp', 'Balsam Fir Swamp', 'Wildcat Swamp', 'Great Bear Swamp', 'Beckley Bog', 'Grant Swamp', 'Indian Meadow', 'Cedar Swamp', 'Robbins Swamp', 'Lime Pond', 'Red Spruce Swamp', 'Tobey Bog', 'Westside Reservoir', 'Norfolk Meadow', 'Goose Pond', 'Whigville Brook']",466
09170,South Central Connecticut Planning Region,"['Billberry Swamp', 'Dismal Swamp', 'Black Swamp', 'Baldwin Swamp', 'Farley Swamp', 'Old Town Landing', 'Morris Creek Nature Preserve', 'Maturo Drive Playground', 'Caroline Creek Marsh', 'Beaver Pond Meadows', 'East Haven Marsh Wildlife Area', 'The Cove', 'Towner Swamp', 'Wolf Swamp', 'Mill Pasture Preserve', 'Fence Creek Meadow', 'Borg Meadow', ""Meadow's Edge"", 'Stevens School Pond', 'Borrelli Farm Pond', 'Tamarac Swamp', 'Fresh Meadows', 'Beaver Head Swamp', 'Foster Hole', 'Coan Pond', 'Hog Pond', 'Cedar Swamp', 'Eckerts Pond']",621
09180,Southeastern Connecticut Planning Region,"['Bride Brook', 'Perry Pond', 'Great Swamp', 'Whittlesey Swamp', 'Dark Swamp', 'Trails Pond', 'Birch Plain Creek Tidal Marsh', 'Lambs Pond', 'Latham Bog', 'Pine Swamp', 'Bindloss Pond', 'The Nature Conservancy Gallup Salt Marsh', 'Johnson Pond', 'Poquetanuck Sedge Beds', 'Fords Pond', 'Holdridge Pond', 'Bates Pond', 'Cooks Pond', 'Voluntown Road Pond', 'Bell Cedar Swamp', 'Oats Pond', 'Hetchel Swamp', 'Dutton Swamp', 'McDonald Swamp', 'Pigeon Swamp', 'Lake Marie', 'Taftville Reservoir Number 2']",924
09190,Western Connecticut Planning Region,"['Canfield Island Marsh', 'Hoyts Swamp', 'Silver Springs Swamp', 'Georgetown Ponds', 'Pine Pond', 'Bell Pond', 'East Swamp', 'Bound Swamp', 'Pine Swamp', 'Gilberts Pond', 'Quipy Swamp', 'Ferris Pond', 'Tamarack Swamp', 'Levys Pond']",293
12003,Baker County,[],5923
12005,Bay County,[],6331
12007,Bradford County,[],819
12013,Calhoun County,[],4178
